departure_airport_name,departure_airport_code,destination_airport_name,destination_airport_code,airline_name,flight_number,departure_time,airline_code
Bangkok Don Mueang International Airport,DMK,Chiang Rai International Airport,CEI,Nok Air,DD100,8:10:00 AM,DD
Chiang Rai International Airport,CEI,Bangkok Don Mueang International Airport,DMK,Nok Air,DD101,9:55:00 AM,DD
Chiang Rai International Airport,CEI,Bangkok Don Mueang International Airport,DMK,Nok Air,DD103,9:55:00 AM,DD
Bangkok Don Mueang International Airport,DMK,Chiang Rai International Airport,CEI,Nok Air,DD102,6:15:00 PM,DD
Bangkok Don Mueang International Airport,DMK,Chiang Rai International Airport,CEI,Nok Air,DD104,6:15:00 PM,DD
Bangkok Don Mueang International Airport,DMK,Chiang Rai International Airport,CEI,Nok Air,DD106,6:15:00 PM,DD
Chiang Rai International Airport,CEI,Bangkok Don Mueang International Airport,DMK,Nok Air,DD105,8:05:00 PM,DD
Bangkok Don Mueang International Airport,DMK,Chiang Mai International Airport,CNX,Nok Air,DD120,7:45:00 AM,DD
Bangkok Don Mueang International Airport,DMK,Chiang Mai International Airport,CNX,Nok Air,DD124,10:35:00 AM,DD
Bangkok Don Mueang International Airport,DMK,Chiang Mai International Airport,CNX,Nok Air,DD128,12:55:00 PM,DD
Bangkok Don Mueang International Airport,DMK,Chiang Mai International Airport,CNX,Nok Air,DD132,6:10:00 PM,DD
Bangkok Don Mueang International Airport,DMK,Chiang Mai International Airport,CNX,Nok Air,DD134,6:10:00 PM,DD
Bangkok Don Mueang International Airport,DMK,Chiang Mai International Airport,CNX,Nok Air,DD142,10:00:00 PM,DD
Bangkok Don Mueang International Airport,DMK,Chiang Mai International Airport,CNX,Nok Air,DD148,10:00:00 PM,DD
Bangkok Don Mueang International Airport,DMK,Nan Airport,NNT,Nok Air,DD172,10:25:00 AM,DD
Nan Airport,NNT,Bangkok Don Mueang International Airport,DMK,Nok Air,DD173,12:05:00 PM,DD
Bangkok Don Mueang International Airport,DMK,Mae Sot Airport,MAQ,Nok Air,DD196,4:25:00 PM,DD
Mae Sot Airport,MAQ,Bangkok Don Mueang International Airport,DMK,Nok Air,DD197,6:10:00 PM,DD
Bangkok Don Mueang International Airport,DMK,Phitsanulok Airport,PHS,Nok Air,DD204,9:35:00 AM,DD
Bangkok Don Mueang International Airport,DMK,Phitsanulok Airport,PHS,Thai Lion Air,SL556,11:00:00 AM,SL
Phitsanulok Airport,PHS,Bangkok Don Mueang International Airport,DMK,Thai Lion Air,SL557,11:00:00 AM,SL
Phitsanulok Airport,PHS,Bangkok Don Mueang International Airport,DMK,Nok Air,DD205,11:00:00 AM,DD
Bangkok Don Mueang International Airport,DMK,Udon Thani International Airport,UTH,Nok Air,DD300,7:10:00 AM,DD
Bangkok Don Mueang International Airport,DMK,Udon Thani International Airport,UTH,Nok Air,DD308,7:10:00 AM,DD
Bangkok Don Mueang International Airport,DMK,Udon Thani International Airport,UTH,Nok Air,DD304,7:10:00 AM,DD
Bangkok Don Mueang International Airport,DMK,Udon Thani International Airport,UTH,Nok Air,DD310,7:10:00 AM,DD
Udon Thani International Airport,UTH,Bangkok Don Mueang International Airport,DMK,Nok Air,DD301,8:40:00 AM,DD
Udon Thani International Airport,UTH,Bangkok Don Mueang International Airport,DMK,Nok Air,DD305,8:40:00 AM,DD
Udon Thani International Airport,UTH,Bangkok Don Mueang International Airport,DMK,Nok Air,DD309,8:40:00 AM,DD
Udon Thani International Airport,UTH,Bangkok Don Mueang International Airport,DMK,Nok Air,DD311,5:10:00 PM,DD
Udon Thani International Airport,UTH,Bangkok Don Mueang International Airport,DMK,Nok Air,DD313,5:10:00 PM,DD
Bangkok Don Mueang International Airport,DMK,Udon Thani International Airport,UTH,Nok Air,DD314,5:10:00 PM,DD
Bangkok Don Mueang International Airport,DMK,Ubon Ratchathani Airport,UBP,Nok Air,DD320,7:15:00 AM,DD
Bangkok Don Mueang International Airport,DMK,Ubon Ratchathani Airport,UBP,Nok Air,DD322,7:15:00 AM,DD
Bangkok Don Mueang International Airport,DMK,Ubon Ratchathani Airport,UBP,Nok Air,DD324,1:55:00 PM,DD
Ubon Ratchathani Airport,UBP,Bangkok Don Mueang International Airport,DMK,Nok Air,DD321,1:55:00 PM,DD
Ubon Ratchathani Airport,UBP,Bangkok Don Mueang International Airport,DMK,Nok Air,DD323,1:55:00 PM,DD
Ubon Ratchathani Airport,UBP,Bangkok Don Mueang International Airport,DMK,Nok Air,DD325,3:30:00 PM,DD
Ubon Ratchathani Airport,UBP,Bangkok Don Mueang International Airport,DMK,Nok Air,DD329,3:30:00 PM,DD
Bangkok Don Mueang International Airport,DMK,Ubon Ratchathani Airport,UBP,Nok Air,DD328,7:30:00 PM,DD
Bangkok Don Mueang International Airport,DMK,Sakon Nakhon Airport,SNO,Nok Air,DD360,7:15:00 AM,DD
Sakon Nakhon Airport,SNO,Bangkok Don Mueang International Airport,DMK,Nok Air,DD361,8:50:00 AM,DD
Bangkok Don Mueang International Airport,DMK,Sakon Nakhon Airport,SNO,Nok Air,DD364,2:45:00 PM,DD
Sakon Nakhon Airport,SNO,Bangkok Don Mueang International Airport,DMK,Nok Air,DD365,4:25:00 PM,DD
Bangkok Don Mueang International Airport,DMK,Hat Yai International Airport,HDY,Nok Air,DD500,7:10:00 PM,DD
Bangkok Don Mueang International Airport,DMK,Hat Yai International Airport,HDY,Nok Air,DD506,7:10:00 PM,DD
Bangkok Don Mueang International Airport,DMK,Hat Yai International Airport,HDY,Nok Air,DD508,7:10:00 PM,DD
Bangkok Don Mueang International Airport,DMK,Hat Yai International Airport,HDY,Thai AirAsia,FD3102,9:30:00 PM,FD
Bangkok Don Mueang International Airport,DMK,Hat Yai International Airport,HDY,Thai AirAsia,FD3108,9:30:00 PM,FD
Bangkok Don Mueang International Airport,DMK,Phuket International Airport,HKT,Nok Air,DD522,11:05:00 AM,DD
Bangkok Don Mueang International Airport,DMK,Phuket International Airport,HKT,Nok Air,DD526,11:05:00 AM,DD
